user_id,created_at,company_id,language,activated_at,state
0,1/1/2013 20:59,5737,english,1/1/2013 21:01,active
1,1/1/2013 13:07,28,english,,pending
2,1/1/2013 10:59,51,english,,pending
3,1/1/2013 18:40,2800,german,1/1/2013 18:42,active
4,1/1/2013 14:37,5110,indian,1/1/2013 14:39,active
5,1/1/2013 13:39,2463,spanish,,pending
6,1/1/2013 18:37,11699,english,1/1/2013 18:38,active
7,1/1/2013 16:19,4765,french,1/1/2013 16:20,active
8,1/1/2013 4:38,2698,french,1/1/2013 4:40,active
9,1/1/2013 8:04,1,french,,pending
10,1/1/2013 9:36,10,arabic,,pending
11,1/1/2013 8:07,3745,english,1/1/2013 8:09,active
12,1/1/2013 18:05,903,english,,pending
13,1/2/2013 12:27,4025,english,1/2/2013 12:29,active
14,1/2/2013 17:17,5077,portugese,,pending
15,1/2/2013 15:39,4259,english,1/2/2013 15:41,active
16,1/2/2013 17:45,10408,german,,pending
17,1/2/2013 10:56,5025,japanese,1/2/2013 10:57,active
18,1/2/2013 8:18,3,japanese,,pending
19,1/2/2013 9:54,326,english,1/2/2013 9:55,active
20,1/2/2013 9:41,7,italian,1/2/2013 9:43,active
21,1/2/2013 9:29,2606,english,1/2/2013 9:30,active
22,1/2/2013 17:36,545,german,1/2/2013 17:38,active
23,1/2/2013 20:04,15,english,,pending
24,1/3/2013 13:08,11301,english,,pending
25,1/3/2013 5:38,2,japanese,,pending
26,1/3/2013 12:11,9833,english,,pending
27,1/3/2013 16:14,6,japanese,1/3/2013 16:15,active
28,1/3/2013 9:53,1167,english,,pending
29,1/3/2013 13:00,1208,english,,pending
30,1/3/2013 8:28,4148,english,1/3/2013 8:29,active
31,1/3/2013 15:45,39,arabic,1/3/2013 15:46,active
32,1/3/2013 15:55,6518,english,,pending
33,1/3/2013 12:16,10768,english,1/3/2013 12:18,active
34,1/3/2013 11:24,11353,japanese,,pending
35,1/3/2013 16:06,1891,english,1/3/2013 16:07,active
36,1/3/2013 11:51,2,english,1/3/2013 11:53,active
37,1/3/2013 7:13,7943,spanish,,pending
38,1/4/2013 8:51,7618,french,,pending
39,1/4/2013 8:53,6322,chinese,,pending
40,1/4/2013 12:59,361,english,,pending
41,1/4/2013 13:06,5049,english,,pending
42,1/4/2013 19:52,3,english,,pending
43,1/4/2013 13:40,1486,english,,pending
44,1/4/2013 13:52,706,japanese,,pending
45,1/4/2013 7:46,7432,japanese,,pending
46,1/4/2013 13:48,719,english,,pending
47,1/4/2013 10:39,1,indian,1/4/2013 10:41,active
48,1/4/2013 9:55,27,english,,pending
49,1/5/2013 14:33,8727,spanish,1/5/2013 14:34,active
50,1/5/2013 17:41,12526,spanish,1/5/2013 17:43,active
51,1/5/2013 21:57,11855,english,,pending
52,1/6/2013 13:35,6,english,1/6/2013 13:37,active
53,1/6/2013 1:29,13119,english,,pending
54,1/6/2013 2:52,2,english,1/6/2013 2:54,active
55,1/6/2013 14:35,2233,german,1/6/2013 14:37,active
56,1/7/2013 8:03,4224,english,,pending
57,1/7/2013 7:10,3184,portugese,,pending
58,1/7/2013 18:24,6855,german,,pending
59,1/7/2013 20:47,2296,chinese,1/7/2013 20:49,active
60,1/7/2013 18:11,3427,english,,pending
61,1/7/2013 11:54,9260,spanish,,pending
62,1/7/2013 18:12,4,japanese,,pending
63,1/7/2013 18:37,5,english,,pending
64,1/7/2013 9:56,9229,english,1/7/2013 9:57,active
65,1/7/2013 16:05,12736,portugese,,pending
66,1/7/2013 15:37,7927,french,1/7/2013 15:39,active
67,1/7/2013 13:46,10818,english,1/7/2013 13:47,active
68,1/7/2013 14:38,11005,spanish,,pending
69,1/8/2013 2:48,128,english,,pending
70,1/8/2013 18:57,502,english,,pending
71,1/8/2013 18:30,3640,japanese,,pending
72,1/8/2013 8:40,9024,english,,pending
73,1/8/2013 13:36,33,english,,pending
74,1/8/2013 21:11,1,english,,pending
75,1/8/2013 14:45,26,english,,pending
